trial,score,group,label,group_multi,preds
0,0.62,1.0,1.0,1.0,1.0
0,0.0,1.0,0.0,1.0,0.0
0,0.7,1.0,1.0,1.0,0.0
0,0.02,1.0,0.0,1.0,0.0
0,0.89,0.0,1.0,6.0,1.0
0,0.8,1.0,1.0,1.0,1.0
0,0.16,0.0,0.0,2.0,0.0
0,0.51,1.0,1.0,1.0,1.0
0,0.17,1.0,0.0,1.0,0.0
0,0.1,1.0,0.0,1.0,0.0
0,0.07,0.0,0.0,9.0,0.0
0,0.0,1.0,0.0,1.0,0.0
0,0.15,1.0,0.0,1.0,0.0
0,0.05,1.0,0.0,1.0,0.0
0,0.63,0.0,1.0,6.0,1.0
0,0.5735,0.0,1.0,9.0,1.0
0,0.77,1.0,1.0,1.0,1.0
0,0.07,0.0,0.0,6.0,0.0
0,0.72,1.0,1.0,1.0,1.0
0,0.77,1.0,1.0,1.0,1.0
0,0.53,0.0,1.0,6.0,1.0
0,0.39,1.0,0.0,1.0,0.0
0,0.02,0.0,0.0,6.0,0.0
0,0.21,1.0,0.0,1.0,0.0
0,0.51,0.0,1.0,8.0,1.0
0,0.0,0.0,0.0,2.0,0.0
0,0.0,1.0,0.0,1.0,0.0
0,0.2,1.0,0.0,1.0,0.0
0,0.6,1.0,1.0,1.0,1.0
0,0.0,0.0,0.0,9.0,0.0
0,0.89,1.0,1.0,1.0,1.0
0,0.29,1.0,0.0,1.0,0.0
0,0.35,1.0,0.0,1.0,0.0
0,0.01,0.0,0.0,8.0,0.0
0,0.69,1.0,1.0,1.0,1.0
0,0.11,1.0,0.0,1.0,0.0
0,0.94,1.0,1.0,1.0,0.0
0,0.99,1.0,1.0,1.0,1.0
0,0.0,1.0,0.0,1.0,0.0
0,0.39,1.0,0.0,1.0,0.0
0,0.09,1.0,0.0,1.0,0.0
0,0.43,1.0,0.0,1.0,0.0
0,0.02,1.0,0.0,1.0,0.0
0,0.77,1.0,1.0,1.0,1.0
0,0.19,1.0,0.0,1.0,0.0
0,0.07,0.0,0.0,8.0,0.0
0,0.0,0.0,0.0,8.0,0.0
0,0.06,0.0,0.0,8.0,0.0
0,0.92,1.0,1.0,1.0,1.0
0,0.02,1.0,0.0,1.0,0.0
0,0.0,0.0,0.0,6.0,1.0
0,0.08,0.0,0.0,8.0,0.0
0,0.26,0.0,0.0,6.0,0.0
0,0.14,1.0,0.0,1.0,0.0
0,0.21,1.0,0.0,1.0,0.0
0,0.03,0.0,0.0,9.0,0.0
0,0.06,1.0,0.0,1.0,0.0
0,0.0,0.0,0.0,2.0,0.0
0,0.02,0.0,0.0,8.0,0.0
0,0.24,0.0,0.0,9.0,0.0
0,0.06,1.0,0.0,1.0,0.0
0,0.89,1.0,1.0,1.0,0.0
0,0.0,0.0,0.0,9.0,0.0
0,0.68,1.0,1.0,1.0,1.0
0,0.37,1.0,0.0,1.0,0.0
0,0.1,0.0,0.0,6.0,0.0
0,0.03,1.0,0.0,1.0,0.0
